continent,continentCode,country,countryCode,primaryHEX,primaryRGB,primaryHSL,primaryCSS,secondaryHEX,secondaryRGB,secondaryHSL,secondaryCSS,secondaryNotes
North America,NA,Saint Barthelemy,BLM,#eace24/#1353b4/#ce0f25,"rgb(234,206,36)/rgb(19,83,180)/rgb(206,15,37)","hsl(52,83%,53%)/hsl(216,81%,39%)/hsl(353,86%,43%)",gold/royalblue/crimson,#001e96/#ffffff/#ee2536,"rgb(0,30,150)/rgb(255,255,255)/rgb(238,37,54)","hsl(228,100%,29%)/hsl(0,0%,100%)/hsl(355,86%,54%)",darkblue/white/crimson,Colors of the official French national flag.
Africa,AF,Saint Helena,SHN,#001c69/#bea86b/#098cc1,"rgb(0,28,105)/rgb(190,168,107)/rgb(9,140,193)","hsl(224,100%,21%)/hsl(44,39%,58%)/hsl(197,91%,40%)",midnightblue/darkkhaki/lightseagreen,,,,,
North America,NA,Saint Kitts and Nevis,KNA,#009f47/#000000/#cf0921/#fcd20f,"rgb(0,159,71)/rgb(0,0,0)/rgb(207,9,33)/rgb(252,210,15)","hsl(147,100%,31%)/hsl(0,0%,0%)/hsl(353,92%,42%)/hsl(49,98%,52%)",seagreen/black/crimson/gold,,,,,
North America,NA,Saint Lucia,LCA,#66cdff/#fcd20f/#000000/#ffffff,"rgb(102,205,255)/rgb(252,210,15)/rgb(0,0,0)/rgb(255,255,255)","hsl(200,100%,70%)/hsl(49,98%,52%)/hsl(0,0%,0%)/hsl(0,0%,100%)",lightskyblue/gold/black/white,#0061c6,"rgb(0,97,198)","hsl(211,100%,39%)",royalblue,Color used in sports.
North America,NA,Saint Martin,MAF,#001e96/#ffffff/#ee2536,"rgb(0,30,150)/rgb(255,255,255)/rgb(238,37,54)","hsl(228,100%,29%)/hsl(0,0%,100%)/hsl(355,86%,54%)",darkblue/white/crimson,,,,,
North America,NA,Saint Pierre and Miquelon,SPM,#0093ca/#ffd000/#ffffff/#cd0000/#02672b,"rgb(0,147,202)/rgb(255,208,0)/rgb(255,255,255)/rgb(205,0,0)/rgb(2,103,43)","hsl(196,100%,40%)/hsl(49,100%,50%)/hsl(0,0%,100%)/hsl(0,100%,40%)/hsl(144,96%,21%)",lightseagreen/gold/white/red/darkgreen,#001e96/#ffffff/#ee2536,"rgb(0,30,150)/rgb(255,255,255)/rgb(238,37,54)","hsl(228,100%,29%)/hsl(0,0%,100%)/hsl(355,86%,54%)",darkblue/white/crimson,Colors of the official French national flag.
North America,NA,Saint Vincent and the Grenadines,VCT,#002174/#fcd11d/#007d2a,"rgb(0,33,116)/rgb(252,209,29)/rgb(0,125,42)","hsl(223,100%,23%)/hsl(48,97%,55%)/hsl(140,100%,25%)",midnightblue/gold/forestgreen,,,,,
Oceania,OC,Samoa,WSM,#cf0921/#002780/#ffffff,"rgb(207,9,33)/rgb(0,39,128)/rgb(255,255,255)","hsl(353,92%,42%)/hsl(222,100%,25%)/hsl(0,0%,100%)",crimson/midnightblue/white,,,,,
Europe,EU,San Marino,SMR,#ffffff/#5db8e5,"rgb(255,255,255)/rgb(93,184,229)","hsl(0,0%,100%)/hsl(200,72%,63%)",white/cornflowerblue,,,,,
Africa,AF,Sao Tome and Principe,STP,#09af27/#ffcf00/#d30731/#000000,"rgb(9,175,39)/rgb(255,207,0)/rgb(211,7,49)/rgb(0,0,0)","hsl(131,90%,36%)/hsl(49,100%,50%)/hsl(348,94%,43%)/hsl(0,0%,0%)",forestgreen/gold/crimson/black,,,,,
Asia,AS,Saudi Arabia,SAU,#006c32/#ffffff,"rgb(0,108,50)/rgb(255,255,255)","hsl(148,100%,21%)/hsl(0,0%,100%)",forestgreen/white,,,,,
Europe,EU,Scotland,SCO,#0065be/#ffffff,"rgb(0,101,190)/rgb(255,255,255)","hsl(208,100%,37%)/hsl(0,0%,100%)",darkcyan/white,,,,,
Africa,AF,Senegal,SEN,#00863d/#fdf040/#e4141e,"rgb(0,134,61)/rgb(253,240,64)/rgb(228,20,30)","hsl(147,100%,26%)/hsl(56,98%,62%)/hsl(357,84%,49%)",forestgreen/yellow/crimson,,,,,
Europe,EU,Serbia,SRB,#c73339/#043e76/#ffffff,"rgb(199,51,57)/rgb(4,62,118)/rgb(255,255,255)","hsl(358,59%,49%)/hsl(209,93%,24%)/hsl(0,0%,100%)",firebrick/midnightblue/white,,,,,
Africa,AF,Seychelles,SYC,#003d88/#fcd955/#d72424/#ffffff/#007a3b,"rgb(0,61,136)/rgb(252,217,85)/rgb(215,36,36)/rgb(255,255,255)/rgb(0,122,59)","hsl(213,100%,27%)/hsl(47,97%,66%)/hsl(0,71%,49%)/hsl(0,0%,100%)/hsl(149,100%,24%)",midnightblue/sandybrown/crimson/white/forestgreen,,,,,
Africa,AF,Sierra Leone,SLE,#18b737/#ffffff/#0072c7,"rgb(24,183,55)/rgb(255,255,255)/rgb(0,114,199)","hsl(132,77%,41%)/hsl(0,0%,100%)/hsl(206,100%,39%)",limegreen/white/darkcyan,#003e09,"rgb(0,62,9)","hsl(129,100%,12%)",darkgreen,Color from the standard of the president of Sierra Leone.
Asia,AS,Singapore,SGP,#ee2536/#ffffff,"rgb(238,37,54)/rgb(255,255,255)","hsl(355,86%,54%)/hsl(0,0%,100%)",crimson/white,#001f7e,"rgb(0,31,126)","hsl(225,100%,25%)",midnightblue,Color used in sports.
North America,NA,Sint Maarten,SXM,#dd0f17/#ffffff/#002688,"rgb(221,15,23)/rgb(255,255,255)/rgb(0,38,136)","hsl(358,87%,46%)/hsl(0,0%,100%)/hsl(223,100%,27%)",crimson/white/midnightblue,#ffaa0f/#4189dd,"rgb(255,170,15)/rgb(65,137,221)","hsl(39,100%,53%)/hsl(212,70%,56%)",orange/royalblue,Colors used in the govenors standard.
Europe,EU,Slovakia,SVK,#ffffff/#034da3/#ef1620,"rgb(255,255,255)/rgb(3,77,163)/rgb(239,22,32)","hsl(0,0%,100%)/hsl(212,96%,33%)/hsl(357,87%,51%)",white/teal/crimson,,,,,
Europe,EU,Slovenia,SVN,#ffffff/#005be6/#ff0000,"rgb(255,255,255)/rgb(0,91,230)/rgb(255,0,0)","hsl(0,0%,100%)/hsl(216,100%,45%)/hsl(0,100%,50%)",white/dodgerblue/red,#0d4611,"rgb(13,70,17)","hsl(124,69%,16%)",darkgreen,Color used in sports.
Oceania,OC,Solomon Islands,SLB,#0050bc/#fcd20f/#1c5a30,"rgb(0,80,188)/rgb(252,210,15)/rgb(28,90,48)","hsl(214,100%,37%)/hsl(49,98%,52%)/hsl(139,53%,23%)",darkcyan/gold/darkslategray,,,,,
Africa,AF,Somalia,SOM,#3f8ade/#ffffff,"rgb(63,138,222)/rgb(255,255,255)","hsl(212,71%,56%)/hsl(0,0%,100%)",royalblue/white,,,,,
Africa,AF,South Africa,ZAF,#e1392e/#007747/#000c8a/#ffba16/#000000/#ffffff,"rgb(225,57,46)/rgb(0,119,71)/rgb(0,12,138)/rgb(255,186,22)/rgb(0,0,0)/rgb(255,255,255)","hsl(4,75%,53%)/hsl(156,100%,23%)/hsl(235,100%,27%)/hsl(42,100%,54%)/hsl(0,0%,0%)/hsl(0,0%,100%)",crimson/seagreen/darkblue/orange/black/white,#1b3838/#ffb302,"rgb(27,56,56)/rgb(255,179,2)","hsl(180,35%,16%)/hsl(42,100%,50%)",darkslategray/orange,Colors used by the Springboks.
South America,SA,South Georgia and the South Sandwich Islands,SGS,#006b00/#ffca00/#1859a7/#ffffff/#001c69,"rgb(0,107,0)/rgb(255,202,0)/rgb(24,89,167)/rgb(255,255,255)/rgb(0,28,105)","hsl(120,100%,21%)/hsl(48,100%,50%)/hsl(213,75%,38%)/hsl(0,0%,100%)/hsl(224,100%,21%)",darkgreen/gold/teal/white/midnightblue,,,,,
Africa,AF,South Sudan,SSD,#000000/#da121a/#078930/#0f47af/#fcdd09/#ffffff,"rgb(0,0,0)/rgb(218,18,26)/rgb(7,137,48)/rgb(15,71,175)/rgb(252,221,9)/rgb(255,255,255)","hsl(0,0%,0%)/hsl(358,85%,46%)/hsl(139,90%,28%)/hsl(219,84%,37%)/hsl(52,98%,51%)/hsl(0,0%,100%)",black/crimson/forestgreen/darkslateblue/gold/white,,,,,
Europe,EU,Spain,ESP,#c70318/#ffc500,"rgb(199,3,24)/rgb(255,197,0)","hsl(354,97%,40%)/hsl(46,100%,50%)",firebrick/gold,,,,,
